ID,Equation,"Inputs (A, B, C, D, E)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
2648,"XNOR(NOT(AND(BUFFER(A), C)), E)","[1, 1, 0, 1, 0]",XNOR -> NOT -> AND -> BUFFER,5.7,8.5,4,0
2649,"XNOR(NOT(OR(AND(A, B), C)), E)","[1, 1, 1, 0, 1]",XNOR -> NOT -> OR -> AND,7.5,11,4,0
2650,"XNOR(NOT(OR(OR(A, B), C)), E)","[0, 0, 0, 0, 0]",XNOR -> NOT -> OR -> OR,7.5,11,4,0
2651,"XNOR(NOT(OR(XOR(A, B), C)), E)","[1, 0, 0, 0, 1]",XNOR -> NOT -> OR -> XOR,8,11.5,4,0
2652,"XNOR(NOT(OR(NAND(A, B), C)), E)","[0, 0, 0, 0, 1]",XNOR -> NOT -> OR -> NAND,7,10.5,4,0
2653,"XNOR(NOT(OR(NOR(A, B), C)), E)","[0, 0, 1, 0, 1]",XNOR -> NOT -> OR -> NOR,7,10.5,4,0
2654,"XNOR(NOT(OR(XNOR(A, B), C)), E)","[0, 0, 1, 1, 1]",XNOR -> NOT -> OR -> XNOR,8,11.5,4,0
2655,"XNOR(NOT(OR(NOT(A), C)), E)","[0, 1, 1, 0, 1]",XNOR -> NOT -> OR -> NOT,6.5,9.5,4,0
2656,"XNOR(NOT(OR(BUFFER(A), C)), E)","[1, 0, 0, 0, 1]",XNOR -> NOT -> OR -> BUFFER,5.7,8.5,4,0
2657,"XNOR(NOT(XOR(AND(A, B), C)), E)","[1, 0, 1, 1, 0]",XNOR -> NOT -> XOR -> AND,8,11.5,4,1
2658,"XNOR(NOT(XOR(OR(A, B), C)), E)","[1, 0, 0, 1, 1]",XNOR -> NOT -> XOR -> OR,8,11.5,4,0
2659,"XNOR(NOT(XOR(XOR(A, B), C)), E)","[1, 1, 1, 1, 0]",XNOR -> NOT -> XOR -> XOR,8.5,12,4,1
2660,"XNOR(NOT(XOR(NAND(A, B), C)), E)","[0, 0, 1, 0, 1]",XNOR -> NOT -> XOR -> NAND,7.5,11,4,1
2661,"XNOR(NOT(XOR(NOR(A, B), C)), E)","[1, 0, 1, 0, 1]",XNOR -> NOT -> XOR -> NOR,7.5,11,4,0
2662,"XNOR(NOT(XOR(XNOR(A, B), C)), E)","[1, 0, 1, 0, 1]",XNOR -> NOT -> XOR -> XNOR,8.5,12,4,0
2663,"XNOR(NOT(XOR(NOT(A), C)), E)","[0, 1, 1, 1, 1]",XNOR -> NOT -> XOR -> NOT,7,10,4,1
2664,"XNOR(NOT(XOR(BUFFER(A), C)), E)","[0, 1, 1, 0, 1]",XNOR -> NOT -> XOR -> BUFFER,6.2,9,4,0
2665,"XNOR(NOT(NAND(AND(A, B), C)), E)","[1, 1, 0, 0, 0]",XNOR -> NOT -> NAND -> AND,7,10.5,4,1
2666,"XNOR(NOT(NAND(OR(A, B), C)), E)","[1, 1, 1, 0, 1]",XNOR -> NOT -> NAND -> OR,7,10.5,4,1
2667,"XNOR(NOT(NAND(XOR(A, B), C)), E)","[0, 0, 1, 0, 0]",XNOR -> NOT -> NAND -> XOR,7.5,11,4,1
2668,"XNOR(NOT(NAND(NAND(A, B), C)), E)","[1, 0, 1, 0, 0]",XNOR -> NOT -> NAND -> NAND,6.5,10,4,0
2669,"XNOR(NOT(NAND(NOR(A, B), C)), E)","[1, 0, 0, 1, 1]",XNOR -> NOT -> NAND -> NOR,6.5,10,4,0
2670,"XNOR(NOT(NAND(XNOR(A, B), C)), E)","[1, 0, 1, 1, 0]",XNOR -> NOT -> NAND -> XNOR,7.5,11,4,1
2671,"XNOR(NOT(NAND(NOT(A), C)), E)","[1, 0, 0, 1, 0]",XNOR -> NOT -> NAND -> NOT,6,9,4,1
2672,"XNOR(NOT(NAND(BUFFER(A), C)), E)","[1, 1, 0, 0, 0]",XNOR -> NOT -> NAND -> BUFFER,5.2,8,4,1
2673,"XNOR(NOT(NOR(AND(A, B), C)), E)","[1, 0, 0, 0, 1]",XNOR -> NOT -> NOR -> AND,7,10.5,4,0
2674,"XNOR(NOT(NOR(OR(A, B), C)), E)","[0, 1, 0, 0, 1]",XNOR -> NOT -> NOR -> OR,7,10.5,4,1
2675,"XNOR(NOT(NOR(XOR(A, B), C)), E)","[0, 0, 1, 1, 0]",XNOR -> NOT -> NOR -> XOR,7.5,11,4,0
2676,"XNOR(NOT(NOR(NAND(A, B), C)), E)","[0, 1, 0, 1, 0]",XNOR -> NOT -> NOR -> NAND,6.5,10,4,0
2677,"XNOR(NOT(NOR(NOR(A, B), C)), E)","[0, 0, 0, 0, 1]",XNOR -> NOT -> NOR -> NOR,6.5,10,4,1
2678,"XNOR(NOT(NOR(XNOR(A, B), C)), E)","[1, 0, 0, 0, 0]",XNOR -> NOT -> NOR -> XNOR,7.5,11,4,1
2679,"XNOR(NOT(NOR(NOT(A), C)), E)","[1, 1, 0, 0, 0]",XNOR -> NOT -> NOR -> NOT,6,9,4,1
2680,"XNOR(NOT(NOR(BUFFER(A), C)), E)","[1, 0, 0, 0, 0]",XNOR -> NOT -> NOR -> BUFFER,5.2,8,4,0
2681,"XNOR(NOT(XNOR(AND(A, B), C)), E)","[1, 1, 1, 1, 1]",XNOR -> NOT -> XNOR -> AND,8,11.5,4,0
2682,"XNOR(NOT(XNOR(OR(A, B), C)), E)","[1, 1, 0, 0, 0]",XNOR -> NOT -> XNOR -> OR,8,11.5,4,0
2683,"XNOR(NOT(XNOR(XOR(A, B), C)), E)","[1, 0, 1, 0, 1]",XNOR -> NOT -> XNOR -> XOR,8.5,12,4,0
2684,"XNOR(NOT(XNOR(NAND(A, B), C)), E)","[1, 0, 0, 0, 1]",XNOR -> NOT -> XNOR -> NAND,7.5,11,4,1
2685,"XNOR(NOT(XNOR(NOR(A, B), C)), E)","[0, 1, 0, 0, 0]",XNOR -> NOT -> XNOR -> NOR,7.5,11,4,1
2686,"XNOR(NOT(XNOR(XNOR(A, B), C)), E)","[1, 1, 0, 0, 1]",XNOR -> NOT -> XNOR -> XNOR,8.5,12,4,1
2687,"XNOR(NOT(XNOR(NOT(A), C)), E)","[1, 1, 1, 0, 1]",XNOR -> NOT -> XNOR -> NOT,7,10,4,1
2688,"XNOR(NOT(XNOR(BUFFER(A), C)), E)","[1, 0, 1, 1, 1]",XNOR -> NOT -> XNOR -> BUFFER,6.2,9,4,0
2689,"XNOR(BUFFER(AND(AND(A, B), C)), E)","[1, 1, 0, 1, 1]",XNOR -> BUFFER -> AND -> AND,6.7,10,4,0
2690,"XNOR(BUFFER(AND(OR(A, B), C)), E)","[1, 0, 1, 1, 1]",XNOR -> BUFFER -> AND -> OR,6.7,10,4,1
2691,"XNOR(BUFFER(AND(XOR(A, B), C)), E)","[1, 1, 1, 0, 1]",XNOR -> BUFFER -> AND -> XOR,7.2,10.5,4,0
2692,"XNOR(BUFFER(AND(NAND(A, B), C)), E)","[0, 1, 1, 0, 1]",XNOR -> BUFFER -> AND -> NAND,6.2,9.5,4,1
2693,"XNOR(BUFFER(AND(NOR(A, B), C)), E)","[1, 1, 1, 1, 1]",XNOR -> BUFFER -> AND -> NOR,6.2,9.5,4,0
2694,"XNOR(BUFFER(AND(XNOR(A, B), C)), E)","[1, 1, 0, 1, 0]",XNOR -> BUFFER -> AND -> XNOR,7.2,10.5,4,1
2695,"XNOR(BUFFER(AND(NOT(A), C)), E)","[1, 0, 0, 1, 1]",XNOR -> BUFFER -> AND -> NOT,5.7,8.5,4,0
2696,"XNOR(BUFFER(AND(BUFFER(A), C)), E)","[1, 1, 0, 0, 0]",XNOR -> BUFFER -> AND -> BUFFER,4.9,7.5,4,1
2697,"XNOR(BUFFER(OR(AND(A, B), C)), E)","[1, 1, 0, 1, 0]",XNOR -> BUFFER -> OR -> AND,6.7,10,4,0
2698,"XNOR(BUFFER(OR(OR(A, B), C)), E)","[0, 1, 1, 0, 0]",XNOR -> BUFFER -> OR -> OR,6.7,10,4,0
2699,"XNOR(BUFFER(OR(XOR(A, B), C)), E)","[0, 1, 0, 0, 1]",XNOR -> BUFFER -> OR -> XOR,7.2,10.5,4,1
2700,"XNOR(BUFFER(OR(NAND(A, B), C)), E)","[0, 1, 1, 1, 0]",XNOR -> BUFFER -> OR -> NAND,6.2,9.5,4,0
2701,"XNOR(BUFFER(OR(NOR(A, B), C)), E)","[0, 1, 1, 0, 1]",XNOR -> BUFFER -> OR -> NOR,6.2,9.5,4,1
2702,"XNOR(BUFFER(OR(XNOR(A, B), C)), E)","[0, 1, 1, 0, 0]",XNOR -> BUFFER -> OR -> XNOR,7.2,10.5,4,0
2703,"XNOR(BUFFER(OR(NOT(A), C)), E)","[0, 1, 0, 0, 1]",XNOR -> BUFFER -> OR -> NOT,5.7,8.5,4,1
2704,"XNOR(BUFFER(OR(BUFFER(A), C)), E)","[1, 0, 0, 0, 0]",XNOR -> BUFFER -> OR -> BUFFER,4.9,7.5,4,0
2705,"XNOR(BUFFER(XOR(AND(A, B), C)), E)","[1, 1, 0, 0, 0]",XNOR -> BUFFER -> XOR -> AND,7.2,10.5,4,0
2706,"XNOR(BUFFER(XOR(OR(A, B), C)), E)","[0, 1, 0, 0, 0]",XNOR -> BUFFER -> XOR -> OR,7.2,10.5,4,0
2707,"XNOR(BUFFER(XOR(XOR(A, B), C)), E)","[0, 1, 1, 1, 1]",XNOR -> BUFFER -> XOR -> XOR,7.7,11,4,0
2708,"XNOR(BUFFER(XOR(NAND(A, B), C)), E)","[1, 0, 0, 0, 1]",XNOR -> BUFFER -> XOR -> NAND,6.7,10,4,1
2709,"XNOR(BUFFER(XOR(NOR(A, B), C)), E)","[0, 1, 1, 1, 1]",XNOR -> BUFFER -> XOR -> NOR,6.7,10,4,1
2710,"XNOR(BUFFER(XOR(XNOR(A, B), C)), E)","[0, 1, 1, 0, 1]",XNOR -> BUFFER -> XOR -> XNOR,7.7,11,4,1
2711,"XNOR(BUFFER(XOR(NOT(A), C)), E)","[0, 0, 0, 0, 1]",XNOR -> BUFFER -> XOR -> NOT,6.2,9,4,1
2712,"XNOR(BUFFER(XOR(BUFFER(A), C)), E)","[1, 1, 0, 1, 1]",XNOR -> BUFFER -> XOR -> BUFFER,5.4,8,4,1
2713,"XNOR(BUFFER(NAND(AND(A, B), C)), E)","[0, 0, 1, 1, 1]",XNOR -> BUFFER -> NAND -> AND,6.2,9.5,4,1
2714,"XNOR(BUFFER(NAND(OR(A, B), C)), E)","[1, 1, 1, 0, 0]",XNOR -> BUFFER -> NAND -> OR,6.2,9.5,4,1
2715,"XNOR(BUFFER(NAND(XOR(A, B), C)), E)","[1, 1, 0, 0, 0]",XNOR -> BUFFER -> NAND -> XOR,6.7,10,4,0
2716,"XNOR(BUFFER(NAND(NAND(A, B), C)), E)","[1, 0, 0, 1, 1]",XNOR -> BUFFER -> NAND -> NAND,5.7,9,4,1
2717,"XNOR(BUFFER(NAND(NOR(A, B), C)), E)","[0, 1, 0, 1, 0]",XNOR -> BUFFER -> NAND -> NOR,5.7,9,4,0
2718,"XNOR(BUFFER(NAND(XNOR(A, B), C)), E)","[0, 1, 1, 0, 1]",XNOR -> BUFFER -> NAND -> XNOR,6.7,10,4,1
2719,"XNOR(BUFFER(NAND(NOT(A), C)), E)","[0, 1, 1, 0, 0]",XNOR -> BUFFER -> NAND -> NOT,5.2,8,4,1
2720,"XNOR(BUFFER(NAND(BUFFER(A), C)), E)","[0, 0, 1, 0, 1]",XNOR -> BUFFER -> NAND -> BUFFER,4.4,7,4,1
2721,"XNOR(BUFFER(NOR(AND(A, B), C)), E)","[0, 1, 1, 1, 1]",XNOR -> BUFFER -> NOR -> AND,6.2,9.5,4,0
2722,"XNOR(BUFFER(NOR(OR(A, B), C)), E)","[0, 1, 1, 0, 0]",XNOR -> BUFFER -> NOR -> OR,6.2,9.5,4,1
2723,"XNOR(BUFFER(NOR(XOR(A, B), C)), E)","[0, 0, 1, 1, 0]",XNOR -> BUFFER -> NOR -> XOR,6.7,10,4,1
2724,"XNOR(BUFFER(NOR(NAND(A, B), C)), E)","[0, 0, 0, 1, 1]",XNOR -> BUFFER -> NOR -> NAND,5.7,9,4,0
2725,"XNOR(BUFFER(NOR(NOR(A, B), C)), E)","[0, 1, 0, 0, 0]",XNOR -> BUFFER -> NOR -> NOR,5.7,9,4,0
2726,"XNOR(BUFFER(NOR(XNOR(A, B), C)), E)","[1, 1, 1, 1, 1]",XNOR -> BUFFER -> NOR -> XNOR,6.7,10,4,0
2727,"XNOR(BUFFER(NOR(NOT(A), C)), E)","[1, 1, 1, 1, 1]",XNOR -> BUFFER -> NOR -> NOT,5.2,8,4,0
2728,"XNOR(BUFFER(NOR(BUFFER(A), C)), E)","[0, 1, 1, 0, 0]",XNOR -> BUFFER -> NOR -> BUFFER,4.4,7,4,1
2729,"XNOR(BUFFER(XNOR(AND(A, B), C)), E)","[0, 1, 0, 0, 1]",XNOR -> BUFFER -> XNOR -> AND,7.2,10.5,4,1
2730,"XNOR(BUFFER(XNOR(OR(A, B), C)), E)","[1, 0, 1, 0, 0]",XNOR -> BUFFER -> XNOR -> OR,7.2,10.5,4,0
2731,"XNOR(BUFFER(XNOR(XOR(A, B), C)), E)","[0, 1, 1, 0, 1]",XNOR -> BUFFER -> XNOR -> XOR,7.7,11,4,1
2732,"XNOR(BUFFER(XNOR(NAND(A, B), C)), E)","[0, 0, 0, 1, 1]",XNOR -> BUFFER -> XNOR -> NAND,6.7,10,4,0
2733,"XNOR(BUFFER(XNOR(NOR(A, B), C)), E)","[0, 0, 0, 1, 1]",XNOR -> BUFFER -> XNOR -> NOR,6.7,10,4,0
2734,"XNOR(BUFFER(XNOR(XNOR(A, B), C)), E)","[0, 1, 0, 0, 0]",XNOR -> BUFFER -> XNOR -> XNOR,7.7,11,4,0
2735,"XNOR(BUFFER(XNOR(NOT(A), C)), E)","[1, 1, 1, 0, 1]",XNOR -> BUFFER -> XNOR -> NOT,6.2,9,4,0
2736,"XNOR(BUFFER(XNOR(BUFFER(A), C)), E)","[1, 0, 0, 1, 1]",XNOR -> BUFFER -> XNOR -> BUFFER,5.4,8,4,0
2737,"NOT(AND(AND(AND(A, B), C), D))","[0, 0, 0, 0, 0]",NOT -> AND -> AND -> AND,7,10.5,4,1
2738,"NOT(AND(AND(OR(A, B), C), D))","[1, 1, 1, 1, 1]",NOT -> AND -> AND -> OR,7,10.5,4,0
2739,"NOT(AND(AND(XOR(A, B), C), D))","[1, 1, 1, 1, 0]",NOT -> AND -> AND -> XOR,7.5,11,4,1
2740,"NOT(AND(AND(NAND(A, B), C), D))","[1, 1, 1, 1, 1]",NOT -> AND -> AND -> NAND,6.5,10,4,1
2741,"NOT(AND(AND(NOR(A, B), C), D))","[0, 0, 0, 1, 1]",NOT -> AND -> AND -> NOR,6.5,10,4,1
2742,"NOT(AND(AND(XNOR(A, B), C), D))","[1, 0, 0, 1, 0]",NOT -> AND -> AND -> XNOR,7.5,11,4,1
2743,"NOT(AND(AND(NOT(A), C), D))","[0, 0, 0, 0, 0]",NOT -> AND -> AND -> NOT,6,9,4,1
2744,"NOT(AND(AND(BUFFER(A), C), D))","[1, 1, 1, 0, 0]",NOT -> AND -> AND -> BUFFER,5.2,8,4,1
2745,"NOT(AND(OR(AND(A, B), C), D))","[0, 0, 0, 0, 1]",NOT -> AND -> OR -> AND,7,10.5,4,1
2746,"NOT(AND(OR(OR(A, B), C), D))","[0, 0, 0, 0, 1]",NOT -> AND -> OR -> OR,7,10.5,4,1
2747,"NOT(AND(OR(XOR(A, B), C), D))","[0, 0, 0, 1, 0]",NOT -> AND -> OR -> XOR,7.5,11,4,1
2748,"NOT(AND(OR(NAND(A, B), C), D))","[0, 0, 1, 0, 0]",NOT -> AND -> OR -> NAND,6.5,10,4,1
2749,"NOT(AND(OR(NOR(A, B), C), D))","[0, 0, 1, 1, 0]",NOT -> AND -> OR -> NOR,6.5,10,4,0
2750,"NOT(AND(OR(XNOR(A, B), C), D))","[0, 1, 1, 0, 0]",NOT -> AND -> OR -> XNOR,7.5,11,4,1
2751,"NOT(AND(OR(NOT(A), C), D))","[1, 1, 0, 1, 0]",NOT -> AND -> OR -> NOT,6,9,4,1
2752,"NOT(AND(OR(BUFFER(A), C), D))","[1, 0, 0, 1, 0]",NOT -> AND -> OR -> BUFFER,5.2,8,4,0
2753,"NOT(AND(XOR(AND(A, B), C), D))","[0, 1, 1, 0, 0]",NOT -> AND -> XOR -> AND,7.5,11,4,1
2754,"NOT(AND(XOR(OR(A, B), C), D))","[0, 1, 0, 1, 1]",NOT -> AND -> XOR -> OR,7.5,11,4,0
2755,"NOT(AND(XOR(XOR(A, B), C), D))","[0, 1, 0, 0, 1]",NOT -> AND -> XOR -> XOR,8,11.5,4,1
2756,"NOT(AND(XOR(NAND(A, B), C), D))","[1, 0, 0, 1, 1]",NOT -> AND -> XOR -> NAND,7,10.5,4,0
2757,"NOT(AND(XOR(NOR(A, B), C), D))","[1, 0, 1, 1, 1]",NOT -> AND -> XOR -> NOR,7,10.5,4,0
2758,"NOT(AND(XOR(XNOR(A, B), C), D))","[1, 1, 1, 0, 0]",NOT -> AND -> XOR -> XNOR,8,11.5,4,1
2759,"NOT(AND(XOR(NOT(A), C), D))","[1, 0, 0, 0, 0]",NOT -> AND -> XOR -> NOT,6.5,9.5,4,1
2760,"NOT(AND(XOR(BUFFER(A), C), D))","[0, 1, 1, 1, 1]",NOT -> AND -> XOR -> BUFFER,5.7,8.5,4,0
2761,"NOT(AND(NAND(AND(A, B), C), D))","[1, 1, 0, 0, 1]",NOT -> AND -> NAND -> AND,6.5,10,4,1
2762,"NOT(AND(NAND(OR(A, B), C), D))","[1, 0, 1, 1, 0]",NOT -> AND -> NAND -> OR,6.5,10,4,1
2763,"NOT(AND(NAND(XOR(A, B), C), D))","[0, 0, 0, 1, 0]",NOT -> AND -> NAND -> XOR,7,10.5,4,0
2764,"NOT(AND(NAND(NAND(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> AND -> NAND -> NAND,6,9.5,4,1
2765,"NOT(AND(NAND(NOR(A, B), C), D))","[1, 0, 1, 1, 0]",NOT -> AND -> NAND -> NOR,6,9.5,4,0
2766,"NOT(AND(NAND(XNOR(A, B), C), D))","[1, 0, 0, 1, 1]",NOT -> AND -> NAND -> XNOR,7,10.5,4,0
2767,"NOT(AND(NAND(NOT(A), C), D))","[1, 1, 0, 0, 0]",NOT -> AND -> NAND -> NOT,5.5,8.5,4,1
2768,"NOT(AND(NAND(BUFFER(A), C), D))","[0, 1, 1, 1, 1]",NOT -> AND -> NAND -> BUFFER,4.7,7.5,4,0
2769,"NOT(AND(NOR(AND(A, B), C), D))","[0, 1, 0, 0, 1]",NOT -> AND -> NOR -> AND,6.5,10,4,1
2770,"NOT(AND(NOR(OR(A, B), C), D))","[1, 1, 0, 0, 0]",NOT -> AND -> NOR -> OR,6.5,10,4,1
2771,"NOT(AND(NOR(XOR(A, B), C), D))","[0, 0, 1, 1, 1]",NOT -> AND -> NOR -> XOR,7,10.5,4,1
2772,"NOT(AND(NOR(NAND(A, B), C), D))","[0, 0, 1, 1, 1]",NOT -> AND -> NOR -> NAND,6,9.5,4,1
2773,"NOT(AND(NOR(NOR(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> AND -> NOR -> NOR,6,9.5,4,1
2774,"NOT(AND(NOR(XNOR(A, B), C), D))","[0, 0, 0, 0, 1]",NOT -> AND -> NOR -> XNOR,7,10.5,4,1
2775,"NOT(AND(NOR(NOT(A), C), D))","[0, 0, 0, 1, 0]",NOT -> AND -> NOR -> NOT,5.5,8.5,4,1
2776,"NOT(AND(NOR(BUFFER(A), C), D))","[1, 0, 1, 1, 1]",NOT -> AND -> NOR -> BUFFER,4.7,7.5,4,1
2777,"NOT(AND(XNOR(AND(A, B), C), D))","[1, 1, 1, 0, 0]",NOT -> AND -> XNOR -> AND,7.5,11,4,1
2778,"NOT(AND(XNOR(OR(A, B), C), D))","[1, 0, 1, 0, 0]",NOT -> AND -> XNOR -> OR,7.5,11,4,1
2779,"NOT(AND(XNOR(XOR(A, B), C), D))","[0, 0, 1, 1, 0]",NOT -> AND -> XNOR -> XOR,8,11.5,4,1
2780,"NOT(AND(XNOR(NAND(A, B), C), D))","[1, 1, 1, 1, 1]",NOT -> AND -> XNOR -> NAND,7,10.5,4,1
2781,"NOT(AND(XNOR(NOR(A, B), C), D))","[1, 1, 1, 0, 1]",NOT -> AND -> XNOR -> NOR,7,10.5,4,1
2782,"NOT(AND(XNOR(XNOR(A, B), C), D))","[0, 1, 0, 0, 1]",NOT -> AND -> XNOR -> XNOR,8,11.5,4,1
2783,"NOT(AND(XNOR(NOT(A), C), D))","[1, 1, 0, 1, 1]",NOT -> AND -> XNOR -> NOT,6.5,9.5,4,0
2784,"NOT(AND(XNOR(BUFFER(A), C), D))","[0, 0, 1, 0, 0]",NOT -> AND -> XNOR -> BUFFER,5.7,8.5,4,1
2785,"NOT(AND(NOT(AND(A, B)), D))","[0, 0, 0, 1, 0]",NOT -> AND -> NOT -> AND,6,9,4,0
2786,"NOT(AND(NOT(OR(A, B)), D))","[1, 0, 1, 0, 1]",NOT -> AND -> NOT -> OR,6,9,4,1
2787,"NOT(AND(NOT(XOR(A, B)), D))","[0, 0, 1, 0, 0]",NOT -> AND -> NOT -> XOR,6.5,9.5,4,1
2788,"NOT(AND(NOT(NAND(A, B)), D))","[1, 0, 0, 1, 0]",NOT -> AND -> NOT -> NAND,5.5,8.5,4,1
2789,"NOT(AND(NOT(NOR(A, B)), D))","[1, 0, 0, 0, 1]",NOT -> AND -> NOT -> NOR,5.5,8.5,4,1
2790,"NOT(AND(NOT(XNOR(A, B)), D))","[1, 1, 1, 0, 1]",NOT -> AND -> NOT -> XNOR,6.5,9.5,4,1
2791,"NOT(AND(BUFFER(AND(A, B)), D))","[1, 1, 0, 0, 0]",NOT -> AND -> BUFFER -> AND,5.2,8,4,1
2792,"NOT(AND(BUFFER(OR(A, B)), D))","[1, 0, 0, 0, 0]",NOT -> AND -> BUFFER -> OR,5.2,8,4,1
2793,"NOT(AND(BUFFER(XOR(A, B)), D))","[0, 0, 0, 1, 1]",NOT -> AND -> BUFFER -> XOR,5.7,8.5,4,1
2794,"NOT(AND(BUFFER(NAND(A, B)), D))","[0, 1, 0, 1, 1]",NOT -> AND -> BUFFER -> NAND,4.7,7.5,4,0
2795,"NOT(AND(BUFFER(NOR(A, B)), D))","[1, 1, 1, 0, 0]",NOT -> AND -> BUFFER -> NOR,4.7,7.5,4,1
2796,"NOT(AND(BUFFER(XNOR(A, B)), D))","[0, 1, 0, 1, 1]",NOT -> AND -> BUFFER -> XNOR,5.7,8.5,4,1
2797,"NOT(OR(AND(AND(A, B), C), D))","[0, 0, 1, 0, 1]",NOT -> OR -> AND -> AND,7,10.5,4,1
2798,"NOT(OR(AND(OR(A, B), C), D))","[0, 1, 1, 0, 1]",NOT -> OR -> AND -> OR,7,10.5,4,0
2799,"NOT(OR(AND(XOR(A, B), C), D))","[1, 1, 1, 0, 0]",NOT -> OR -> AND -> XOR,7.5,11,4,1
2800,"NOT(OR(AND(NAND(A, B), C), D))","[1, 0, 1, 1, 0]",NOT -> OR -> AND -> NAND,6.5,10,4,0
2801,"NOT(OR(AND(NOR(A, B), C), D))","[1, 0, 1, 1, 0]",NOT -> OR -> AND -> NOR,6.5,10,4,0
2802,"NOT(OR(AND(XNOR(A, B), C), D))","[1, 0, 0, 0, 0]",NOT -> OR -> AND -> XNOR,7.5,11,4,1
2803,"NOT(OR(AND(NOT(A), C), D))","[0, 0, 0, 1, 1]",NOT -> OR -> AND -> NOT,6,9,4,0
2804,"NOT(OR(AND(BUFFER(A), C), D))","[0, 1, 1, 1, 1]",NOT -> OR -> AND -> BUFFER,5.2,8,4,0
2805,"NOT(OR(OR(AND(A, B), C), D))","[0, 0, 0, 1, 1]",NOT -> OR -> OR -> AND,7,10.5,4,0
2806,"NOT(OR(OR(OR(A, B), C), D))","[1, 1, 0, 1, 1]",NOT -> OR -> OR -> OR,7,10.5,4,0
2807,"NOT(OR(OR(XOR(A, B), C), D))","[1, 1, 1, 1, 1]",NOT -> OR -> OR -> XOR,7.5,11,4,0
2808,"NOT(OR(OR(NAND(A, B), C), D))","[1, 1, 0, 0, 0]",NOT -> OR -> OR -> NAND,6.5,10,4,1
2809,"NOT(OR(OR(NOR(A, B), C), D))","[1, 1, 1, 1, 1]",NOT -> OR -> OR -> NOR,6.5,10,4,0
2810,"NOT(OR(OR(XNOR(A, B), C), D))","[0, 0, 1, 0, 1]",NOT -> OR -> OR -> XNOR,7.5,11,4,0
2811,"NOT(OR(OR(NOT(A), C), D))","[1, 0, 1, 1, 0]",NOT -> OR -> OR -> NOT,6,9,4,0
2812,"NOT(OR(OR(BUFFER(A), C), D))","[0, 1, 1, 1, 0]",NOT -> OR -> OR -> BUFFER,5.2,8,4,0
2813,"NOT(OR(XOR(AND(A, B), C), D))","[0, 0, 0, 0, 1]",NOT -> OR -> XOR -> AND,7.5,11,4,1
2814,"NOT(OR(XOR(OR(A, B), C), D))","[0, 0, 0, 1, 1]",NOT -> OR -> XOR -> OR,7.5,11,4,0
2815,"NOT(OR(XOR(XOR(A, B), C), D))","[0, 0, 1, 1, 0]",NOT -> OR -> XOR -> XOR,8,11.5,4,0
2816,"NOT(OR(XOR(NAND(A, B), C), D))","[1, 0, 1, 0, 0]",NOT -> OR -> XOR -> NAND,7,10.5,4,1
2817,"NOT(OR(XOR(NOR(A, B), C), D))","[1, 1, 0, 0, 0]",NOT -> OR -> XOR -> NOR,7,10.5,4,1
2818,"NOT(OR(XOR(XNOR(A, B), C), D))","[0, 0, 1, 1, 1]",NOT -> OR -> XOR -> XNOR,8,11.5,4,0
2819,"NOT(OR(XOR(NOT(A), C), D))","[1, 1, 1, 1, 0]",NOT -> OR -> XOR -> NOT,6.5,9.5,4,0
2820,"NOT(OR(XOR(BUFFER(A), C), D))","[0, 1, 1, 0, 1]",NOT -> OR -> XOR -> BUFFER,5.7,8.5,4,0
2821,"NOT(OR(NAND(AND(A, B), C), D))","[0, 1, 0, 0, 0]",NOT -> OR -> NAND -> AND,6.5,10,4,0
2822,"NOT(OR(NAND(OR(A, B), C), D))","[1, 0, 1, 0, 1]",NOT -> OR -> NAND -> OR,6.5,10,4,1
2823,"NOT(OR(NAND(XOR(A, B), C), D))","[1, 0, 0, 1, 0]",NOT -> OR -> NAND -> XOR,7,10.5,4,0
2824,"NOT(OR(NAND(NAND(A, B), C), D))","[0, 0, 0, 1, 1]",NOT -> OR -> NAND -> NAND,6,9.5,4,0
2825,"NOT(OR(NAND(NOR(A, B), C), D))","[0, 0, 0, 0, 0]",NOT -> OR -> NAND -> NOR,6,9.5,4,0
2826,"NOT(OR(NAND(XNOR(A, B), C), D))","[1, 0, 0, 1, 1]",NOT -> OR -> NAND -> XNOR,7,10.5,4,0
2827,"NOT(OR(NAND(NOT(A), C), D))","[1, 0, 0, 1, 1]",NOT -> OR -> NAND -> NOT,5.5,8.5,4,0
2828,"NOT(OR(NAND(BUFFER(A), C), D))","[1, 1, 0, 0, 0]",NOT -> OR -> NAND -> BUFFER,4.7,7.5,4,0
2829,"NOT(OR(NOR(AND(A, B), C), D))","[1, 1, 0, 0, 0]",NOT -> OR -> NOR -> AND,6.5,10,4,1
2830,"NOT(OR(NOR(OR(A, B), C), D))","[1, 1, 1, 1, 1]",NOT -> OR -> NOR -> OR,6.5,10,4,0
2831,"NOT(OR(NOR(XOR(A, B), C), D))","[1, 1, 1, 1, 1]",NOT -> OR -> NOR -> XOR,7,10.5,4,0
2832,"NOT(OR(NOR(NAND(A, B), C), D))","[0, 1, 0, 0, 1]",NOT -> OR -> NOR -> NAND,6,9.5,4,1
